SampleID,ichorCNA
ZMG008A,0.009484
ZMG009A,0.01314
ZMG010A,0.01163
ZMG021A,0.01072
ZMG022NB,0.01387
ZMG023A,0.0105
ZMG025NB,0.005593
ZMG028A,0.01592
ZMG032A,0.01122
ZMG033A,0.01009
ZMG042NB,0.009197
ZMG045NB,0.01019
ZMG046A,0.01046
ZMG047NB,0.009617
ZMG049NB,0.02768
ZMG053A,0.01652
ZMG057NB,0.007318
ZMG060NB,0.01306
ZMG062NB,0.01207
ZMG064NB,0.01353
ZMG069A,0.01156
ZMG070NB,0.01064
ZMG080A,0.01834
ZMG082NB,0.01188
ZMG088NB,0.01105
ZMG089A,0.008864
ZMG091NB,0.008316
ZMG092A,0.008654
ZMG097A,0.009607
ZMG098NB,0.0
ZMG100NB,0.01022
ZMG104NB,0.01264
ZMG105A,0.01099
ZMG125NB,0.004549
ZMG126NB,0.01508
ZMG127A,0.01173
ZMG128NB,0.01057
ZMG130A,0.008832
ZMG135NB,0.0
ZMG138NB,0.01415
ZMG140NB,0.01479
ZMG149NB,0.01012
ZMG150NB,0.01064
ZMG157A,0.005613
ZMH004A,0.2684
ZMH006A,0.2915
ZMH008A,0.1497
ZMH009NB,0.2138
MH011NB,0.1547
ZMH013NB,0.06781
ZMH014NB,0.005445
ZMH016NB,0.1904
ZMH017NB,0.2106
ZMH018A,0.3191
ZMH020A,0.6984
ZMH025A,0.02578
ZMH028A,0.08079
ZMH031NB,0.01288
ZMH032NB,0.04386
ZMH034A,0.17
ZMH035NB,0.1375
ZMH037A,0.1826
ZMH043A,0.01249
ZMH048A,0.234
ZMH049B,0.01476
ZMH050NB,0.2815
ZMH051NB,0.1317
ZMH057NB,0.08184
ZMH058NB,0.01079
ZMH059A,0.17
ZMH060A,0.2892
ZMH061A,0.2775
ZL12174NB,0.07403
ZL12406NB,0.06994
L12531,0.01014
ZL12859NB,0.007926
L12866,0.1803
ZL12880NB,0.01191
ZLAAD30NB,0.008932
ZLAAD70NB,0.07127
LAAF30,0.0067
ZNL01NB,0.0
ZNL03,0.007123
ZNL04NB,0.009149
ZNL05,0.01298
ZNL09NB,0.006154
