,Healthy
-300,5.422822463840877e-05
-299,5.5394288796541855e-05
-298,5.6453542544620554e-05
-297,5.809422641907287e-05
-296,5.9593369753728744e-05
-295,6.0464852377643114e-05
-294,6.175407639842088e-05
-293,6.359078601559935e-05
-292,6.43116493346953e-05
-291,6.510340151472582e-05
-290,6.631868191002064e-05
-289,6.845978591171013e-05
-288,6.939104715055503e-05
-287,7.09436380644501e-05
-286,7.171052769872775e-05
-285,7.329867413496881e-05
-284,7.507672868253468e-05
-283,7.669921807126944e-05
-282,7.67400910321318e-05
-281,8.03263636669447e-05
-280,8.12093182478744e-05
-279,8.20797549413428e-05
-278,8.487060604673822e-05
-277,8.366934125369514e-05
-276,8.6348971481673e-05
-275,8.702666616475008e-05
-274,8.927058170734826e-05
-273,9.083770299825222e-05
-272,9.221030888648678e-05
-271,9.342594062548689e-05
-270,9.548811868995027e-05
-269,9.44173696831998e-05
-268,9.73725580014525e-05
-267,9.934869654812186e-05
-266,9.967495333166333e-05
-265,0.00010104612499807402
-264,0.00010230639267059169
-263,0.00010302960162725857
-262,0.00010565044117313926
-261,0.00010546830644292502
-260,0.00010664885929468085
-259,0.00010830643753011511
-258,0.0001089737532546302
-257,0.00011006644181842454
-256,0.0001114786818218132
-255,0.00011203989915648114
-254,0.00011366086460133397
-253,0.00011372520236947925
-252,0.00011511566655304153
-251,0.00011610781456925472
-250,0.00011839871139005282
-249,0.0001194719282480585
-248,0.00011984831327173961
-247,0.00012155164698811696
-246,0.00012149850210252452
-245,0.0001232288616746434
-244,0.00012473086700221132
-243,0.00012621125704787923
-242,0.00012774915521624152
-241,0.000129312655525066
-240,0.00013077988247651886
-239,0.00013254218930924906
-238,0.00013341759260230757
-237,0.00013453688103637736
-236,0.00013604421937107357
-235,0.00013877070500084338
-234,0.0001397797884503151
-233,0.00014241307748785284
-232,0.00014544210420152075
-231,0.00014645600415437739
-230,0.00014882821206516604
-229,0.0001511817919755132
-228,0.0001546880730895019
-227,0.00015606375621086792
-226,0.00015644292910503395
-225,0.00015965481180475093
-224,0.0001635430867160283
-223,0.00016581213386985473
-222,0.00016867638631202077
-221,0.00017136084599231316
-220,0.00017444618550821697
-219,0.0001765478037270944
-218,0.00017959264476085661
-217,0.00018243173048264908
-216,0.00018576157956457737
-215,0.00018966729220091884
-214,0.00019277976833592265
-213,0.00019700314172222836
-212,0.00019941752249665284
-211,0.0002025931668684981
-210,0.00020468523696545658
-209,0.00020869552722499623
-208,0.00021008972873481514
-207,0.00021585293945553587
-206,0.00021841981712401694
-205,0.0002238381278969943
-204,0.00022437080170509431
-203,0.00022970179006945283
-202,0.000233614601163066
-201,0.00023743270362912828
-200,0.000238941110237332
-199,0.00024388069967110187
-198,0.0002504948017770906
-197,0.0002514542102983075
-196,0.00025722257395873025
-195,0.0002594252949942736
-194,0.00026505658924554527
-193,0.0002677929035150283
-192,0.0002728392579227415
-191,0.00027735283969752833
-190,0.0002791706199693302
-189,0.0002850500168411434
-188,0.0002903041854938736
-187,0.0002941269966337453
-186,0.0002975927426373113
-185,0.0003040735791812378
-184,0.00030563338093426794
-183,0.0003103763174214038
-182,0.0003177727203605471
-181,0.0003194454451280773
-180,0.00032305919894396227
-179,0.00032855757736005093
-178,0.00033080599626228864
-177,0.0003343775776502377
-176,0.0003406802301110285
-175,0.0003431598121158699
-174,0.0003442800115972397
-173,0.0003499055056101849
-172,0.0003514902878154094
-171,0.00035648383611680193
-170,0.0003570823511464019
-169,0.0003609247532565472
-168,0.00036201611657638304
-167,0.0003623424349794547
-166,0.0003653111615227435
-165,0.0003665251561155735
-164,0.00036982627514668296
-163,0.00037221078074888296
-162,0.00037194180402435847
-161,0.00037574040549877166
-160,0.0003777839895876848
-159,0.00037973636222022266
-158,0.00038229299764586035
-157,0.0003826289405064245
-156,0.0003837853872345622
-155,0.0003880207839820925
-154,0.0003902612362600283
-153,0.0003932588493452265
-152,0.0003960097625873301
-151,0.00039815902173881136
-150,0.0004007521099936226
-149,0.0004055278301053414
-148,0.00040847587715321887
-147,0.00041243224566314343
-146,0.00041733464698062267
-145,0.00042101274674385286
-144,0.0004279074258795735
-143,0.0004296129333798924
-142,0.00043705807535213587
-141,0.00044117860738507927
-140,0.0004451420923826529
-139,0.00045079032991316787
-138,0.00045862591067313206
-137,0.0004651423605173415
-136,0.00047140063414602445
-135,0.0004793396204049774
-134,0.0004901750372289094
-133,0.000496958491901517
-132,0.0005066665870666603
-131,0.0005148630362878245
-130,0.0005275891122798584
-129,0.0005401146171408434
-128,0.0005492953793943189
-127,0.0005633321219908038
-126,0.0005747505082058566
-125,0.0005881707457633132
-124,0.000601484293131119
-123,0.0006210154979698359
-122,0.0006372862687292925
-121,0.0006547137630527831
-120,0.0006713934350119944
-119,0.0006976140865710038
-118,0.000715560198845017
-117,0.0007363725145056227
-116,0.0007616635590388887
-115,0.0007904927723125585
-114,0.0008224579760661471
-113,0.0008538609239226094
-112,0.0008910271411762471
-111,0.0009306239651926076
-110,0.0009776948997841017
-109,0.0010234952345867245
-108,0.0010823497033429813
-107,0.0011436187621178962
-106,0.0012182130658052583
-105,0.0013044002396995322
-104,0.0013941697847420342
-103,0.0015033107889423228
-102,0.0016258753124532058
-101,0.0017643279692022285
-100,0.0019146596788653662
-99,0.002092504631506971
-98,0.002280320167831209
-97,0.0024858682708748733
-96,0.0027116635987712795
-95,0.0029444708978965265
-94,0.00318691365686842
-93,0.003424432799487786
-92,0.0036638398748062985
-91,0.0038834826668026783
-90,0.004097873570559342
