SampleID,ichorCNA
8-ZMG093,0.02178
7-ZMC057,0.02177
6-ZMC071A,0.01136
6-MDGAAA16,0.01741
3-MQAAAA19,0.3859
8-ZMC046B,0.01438
1-HAAA31,0.09142
15-MDGAAB43,0.0
4-ZMC006A,0.006669
12-ZNAB09A,0.0
1-YCAB14,0.01085
3-ZMC005B,0.01157
2-HMAAAA16,0.1093
6-HAGAAA11,0.1814
2-HAAAAA27,0.006357
2-YCAB06,0.4026
3-HHAA22,0.3499
7-ZIL105A,0.008167
4-ZTKL10B,0.00952
10-ZNAB06A,0.03266
16-ZMB596A,0.006822
2-MUAAAA44,0.01012
6-ZTKL12B,0.006343
8-ZMC005,0.009836
8-ZIL106A,0.1004
16-MDGAAB45,0.008043
1-ZMB602A,0.0
3-ZTKL09B,0.01072
12-ZMH056A,0.3258
4-HMAA08,0.05268
15-ZMB581A,0.007871
11-ZMH047D,0.00805
7-ZMC046A,0.01808
13-ZMH056B,0.01131
4-HAGAAA18,0.6829
14-MUGAAA67,0.008218
14-ZMH056D,0.04149
5-ZMC006B,0.007104
11-ZNAB08A,0.01202
9-MDGAAB39,0.008224
1-QCAD47,0.007813
1-ZMC031,0.02332
10-ZMH047B,0.008121
9-ZMH047A,0.09913
13-UHAA49,0.009723
6-ZMC006C,0.01148
16-ZMG117B,0.006111
5-ZTKL11B,0.01229
2-ZTKL05B,0.006043
5-HMAAAA27,0.2263
13-U3AA05,0.0
11-MQCAAA05,0.007417
4-ZXG04,0.007333
12-MUGAAA57,0.01454
11-MUGAAA01,0.0138
1-ZXG27,0.03638
4-Q3AA14,0.01048
12-Q3AA19,0.03711
3-MQCAAA59,0.01606
14-ZMB576A,0.009934
16-ZMH021C,0.00901
7-HMGAAA01,0.009626
8-MECAAA03,0.0
8-ZMG107A,0.009187
10-U3AA02,0.006573
15-ZMH021B,0.009572
3-ZMG094A,0.01334
6-MDGAAA10,0.009918
10-UHAA47,0.005644
2-Q3AA09,0.04957
10-Q3AA48,0.008412
1-HAAA35,0.0563
13-ZMH010C,0.03138
15-ZMB576B,0.01081
