SampleID,RUN,Group_RUN
6-ZTKL01B,Research-mrdgw-all-batch3,06062024
13-KABC54,Research-mrdgw-all-batch3,06062024
3-ZIL01A,Research-mrdgw-all-batch3,06062024
2-ZTKL16A,Research-mrdgw-all-batch3,06062024
11-KABF33,Research-mrdgw-all-batch3,06062024
1-KABF53,Research-mrdgw-all-batch3,06062024
7-ZTKL03B,Research-mrdgw-all-batch3,06062024
10-KABF18,Research-mrdgw-all-batch3,06062024
7-KABE82,Research-mrdgw-all-batch3,06062024
4-ZMH062A,Research-mrdgw-all-batch3,06062024
16-ZMH062B,Research-mrdgw-all-batch3,06062024
16-KABB91,Research-mrdgw-all-batch3,06062024
12-QHAA87,Research-mrdgw-all-batch3,06062024
2-QCAF61,Research-mrdgw-all-batch3,06062024
9-KABF13,Research-mrdgw-all-batch3,06062024
3-MECAAA20,Research-mrdgw-all-batch3,06062024
5-ZMH054A,Research-mrdgw-all-batch3,06062024
11-KABF96,Research-mrdgw-all-batch3,06062024
1-ZTKL14A,Research-mrdgw-all-batch3,06062024
9-KABF90,Research-mrdgw-all-batch3,06062024
10-KABG07,Research-mrdgw-all-batch3,06062024
1-QCAE05,Research-mrdgw-all-batch3,06062024
1-MECAAA17,Research-mrdgw-all-batch3,06062024
5-HMAAAA09,Research-mrdgw-all-batch3,06062024
7-HMAAAA23,Research-mrdgw-all-batch3,06062024
6-HMAAAA19,Research-mrdgw-all-batch3,06062024
3-HMAAAA30,Research-mrdgw-all-batch3,06062024
8-HHAA10,Research-mrdgw-all-batch3,06062024
2-MEGAAA07,Research-mrdgw-all-batch3,06062024
3-QCAD83,Research-mrdgw-all-batch3,06062024
8-HMAAAA28,Research-mrdgw-all-batch3,06062024
7-QCAB83,Research-mrdgw-all-batch3,06062024
9-HMAAAA05,Research-mrdgw-all-batch3,06062024
5-MEGAAA06,Research-mrdgw-all-batch3,06062024
4-QCAD68,Research-mrdgw-all-batch3,06062024
4-QCAC99,Research-mrdgw-all-batch3,06062024
6-MDGAAA36,Research-mrdgw-all-batch3,06062024
12-UCAA26,Research-mrdgw-all-batch6,06062024
16-MUGAAA02,Research-mrdgw-all-batch6,06062024
19-KABH62,Research-mrdgw-all-batch6,06062024
3-U3AA04,Research-mrdgw-all-batch6,06062024
5-ZMG002A,Research-mrdgw-all-batch6,06062024
1-ZMG058A,Research-mrdgw-all-batch6,06062024
14-MDGAAA27,Research-mrdgw-all-batch6,06062024
8-ZMG068A,Research-mrdgw-all-batch6,06062024
3-ZMG103A,Research-mrdgw-all-batch6,06062024
8-HMAA03,Research-mrdgw-all-batch6,06062024
12-ZMG102A,Research-mrdgw-all-batch6,06062024
13-MECAAA15,Research-mrdgw-all-batch6,06062024
9-QCAA02,Research-mrdgw-all-batch6,06062024
1-MQCAAA48,Research-mrdgw-all-batch6,06062024
12-MDGAAA24,Research-mrdgw-all-batch6,06062024
16-YCAA54,Research-mrdgw-all-batch6,06062024
20-KABH63,Research-mrdgw-all-batch6,06062024
4-YCAB01,Research-mrdgw-all-batch6,06062024
2-YCAA77,Research-mrdgw-all-batch6,06062024
22-KABG35,Research-mrdgw-all-batch6,06062024
11-QCAB64,Research-mrdgw-all-batch6,06062024
10-ZMG086A,Research-mrdgw-all-batch6,06062024
15-HMAAAA35,Research-mrdgw-all-batch6,06062024
11-ZMG086B,Research-mrdgw-all-batch6,06062024
6-ZMG067A,Research-mrdgw-all-batch6,06062024
15-ZMG117A,Research-mrdgw-all-batch6,06062024
7-MDAAAA15,Research-mrdgw-all-batch6,06062024
7-HMGAAA08,Research-mrdgw-all-batch6,06062024
6-HMAA06,Research-mrdgw-all-batch6,06062024
5-QCAA94,Research-mrdgw-all-batch6,06062024
6-ZMG044A,Research-mrdgw-all-batch6,06062024
21-KABG32,Research-mrdgw-all-batch6,06062024
2-Q3AA08,Research-mrdgw-all-batch6,06062024
1-QCAA40,Research-mrdgw-all-batch6,06062024
8-HMAA04,Research-mrdgw-all-batch6,06062024
9-ZMG068B,Research-mrdgw-all-batch6,06062024
13-QHAA80,Research-mrdgw-all-batch6,06062024
2-ZMG085A,Research-mrdgw-all-batch6,06062024
11-HMGAAA02,Research-mrdgw-all-batch6,06062024
