,baryl2
0,5.4329268267328356e-05
1,5.543843049490477e-05
2,5.687632767346165e-05
3,5.8249334158189486e-05
4,5.966953915317904e-05
5,6.08264945068409e-05
6,6.119036287474526e-05
7,6.326978326680782e-05
8,6.395123423944308e-05
9,6.474786781918917e-05
10,6.646690901558906e-05
11,6.796541970841862e-05
12,6.938292429818e-05
13,7.054740720467123e-05
14,7.157055880552707e-05
15,7.318047740396035e-05
16,7.514140941823634e-05
17,7.617983359545552e-05
18,7.72797539050083e-05
19,7.958880024975203e-05
20,8.036811397494923e-05
21,8.179488286139019e-05
22,8.373398327662915e-05
23,8.403677669229284e-05
24,8.571584159074025e-05
25,8.73209641044077e-05
26,8.874543132132531e-05
27,8.995232486403061e-05
28,9.15221312952683e-05
29,9.28371953330907e-05
30,9.39772185871779e-05
31,9.479929219769619e-05
32,9.651692354783425e-05
33,9.813931188769533e-05
34,9.932452324922845e-05
35,0.00010089858638666731
36,0.0001018569288279754
37,0.0001029310746434206
38,0.00010474921562805177
39,0.00010534176577717556
40,0.00010674420240548562
41,0.0001077431043835486
42,0.00010922974991616814
43,0.00011009898172378586
44,0.0001112895698437535
45,0.00011158162634738582
46,0.00011358648129211599
47,0.00011450412401395155
48,0.00011528736142225955
49,0.00011663953038262938
50,0.00011778002123950415
51,0.00011859724779315846
52,0.000120154513872208
53,0.0001221720325106711
54,0.00012211649276525516
55,0.0001232868018662732
56,0.00012506635263629585
57,0.00012633346472645953
58,0.00012774615969649174
59,0.00012966596498566933
60,0.00013124547267580593
61,0.00013229732342307939
62,0.00013398389292082293
63,0.00013499894571341906
64,0.0001368479494908477
65,0.00013888906825987833
66,0.000141224202821691
67,0.0001431653740954041
68,0.00014547317187446287
69,0.00014722304454584096
70,0.00014922294798847035
71,0.00015153014318754454
72,0.0001544682549962245
73,0.00015564381963491312
74,0.0001578027749114812
75,0.00016073810206384534
76,0.0001640381189381997
77,0.00016625560582134044
78,0.0001696614244296054
79,0.00017268947258503866
80,0.00017530699390251112
81,0.00017773788535238588
82,0.00018061326403513223
83,0.0001843146858518825
84,0.00018740085526889507
85,0.00019093975909067787
86,0.00019417106656458065
87,0.0001975759619851113
88,0.00020029480671844357
89,0.0002039287555624402
90,0.00020596762660409537
91,0.00020971040879293277
92,0.00021240867152743043
93,0.00021659220092417467
94,0.0002195876285882484
95,0.0002242786497119851
96,0.0002268674349270242
97,0.00023049524190407966
98,0.00023494283339308664
99,0.00023870999722855414
100,0.00024092666498038017
101,0.0002459838028699801
102,0.00025131030795290437
103,0.00025372910010282865
104,0.00025763630138718094
105,0.0002622304745761159
106,0.0002656578982645152
107,0.0002691534266765856
108,0.00027430439713984435
109,0.0002788139707977766
110,0.0002821132150422122
111,0.00028705278449953043
112,0.000291646422572741
113,0.00029493835064429123
114,0.00029851158501502135
115,0.0003044042807001799
116,0.0003075789418171774
117,0.00031223460490765846
118,0.00031771984934679304
119,0.000320588194053533
120,0.00032421354160701933
121,0.0003290305286541532
122,0.00033287594281330795
123,0.00033636475350738964
124,0.0003405979520331025
125,0.00034390573006268374
126,0.00034707559202228197
127,0.00035062984435740743
128,0.00035259841339073666
129,0.00035594724954057756
130,0.00035863658467780797
131,0.0003612761336038251
132,0.00036324630033324554
133,0.0003655399069126822
134,0.00036765592079344956
135,0.0003677386206409373
136,0.0003716861247020811
137,0.0003732611729143394
138,0.00037482830198775073
139,0.00037740404645218766
140,0.0003782334709531227
141,0.0003806052036530105
142,0.0003829609017769333
143,0.00038408860188914105
144,0.0003858220986582531
145,0.0003883703198642583
146,0.0003911897755532438
147,0.00039411099962513216
148,0.00039678543221951704
149,0.0004000792589204978
150,0.00040233741776930814
151,0.00040578288849605357
152,0.00040865034897585926
153,0.00041281345185481425
154,0.00041766990689891216
155,0.0004217475250515704
156,0.0004277647351583229
157,0.0004313830520814884
158,0.0004375794362340887
159,0.00044324188089309483
160,0.0004465766547559624
161,0.00045340799737344486
162,0.00046060378824231546
163,0.00046722859353184816
164,0.0004746667770837941
165,0.0004824851704562848
166,0.0004911868769196116
167,0.0004991607089447141
168,0.0005085455967771901
169,0.0005163600752979054
170,0.0005274444720318788
171,0.0005402697628762903
172,0.0005502786676169854
173,0.0005628553184684973
174,0.0005746525808184261
175,0.0005896344854307688
176,0.0006028663966540867
177,0.0006213061991730045
178,0.0006358332837716498
179,0.0006531134916032138
180,0.0006721006154405782
181,0.0006949249717168983
182,0.000714517350053514
183,0.0007346896861795535
184,0.0007602151269691949
185,0.000788685159791648
186,0.0008178879728178796
187,0.0008496225085139091
188,0.0008855053240526988
189,0.000925087830513879
190,0.0009705348139831954
191,0.0010172104563773076
192,0.0010735377797483816
193,0.001135551198799929
194,0.0012080545497387529
195,0.0012897301117454634
196,0.0013791836116186773
197,0.0014854052531858824
198,0.001606669722613414
199,0.0017403542168832168
200,0.0018903669434556826
201,0.002061343493862683
202,0.002249841245159878
203,0.002451120035886996
204,0.0026685722492717783
205,0.0028978223733719033
206,0.00313357115681963
207,0.003368946832757838
208,0.003600068473240109
209,0.0038228292874097325
210,0.004028478646332816
211,0.004226288670071616
212,0.004400564915575889
213,0.004547901088623331
214,0.004667974452882638
215,0.004764688353705061
216,0.00483669856712793
217,0.004878036322246614
218,0.004899371451222913
219,0.004895940751168786
220,0.004885003141271304
221,0.004862186498551841
222,0.004832127526227034
223,0.004791112871807615
224,0.004746515512692942
225,0.004699317000831949
226,0.004650791836686989
227,0.0046034138604111475
228,0.0045521107160653934
229,0.004503167721402964
230,0.004453042062289484
231,0.004399448292847583
232,0.004346656742769852
233,0.004291585640337251
234,0.004244322542078379
235,0.004195907929322493
236,0.004153229484754817
237,0.004110939945942668
238,0.004078701289138206
239,0.004046920831819552
240,0.004015456655455031
241,0.003981686485176768
242,0.003958303918183983
243,0.0039326773559180805
244,0.0039046372907741806
245,0.0038807112216781387
246,0.0038514917985995067
247,0.003822560321981339
248,0.003802933999737335
249,0.0037839975875379782
250,0.0037659282112420334
251,0.0037560820025614103
252,0.003749074727877637
253,0.003743938497151886
254,0.0037404081372029016
255,0.0037437192561472574
256,0.0037535719638271937
257,0.0037604970544200976
258,0.003770651107793405
259,0.0037805032224939414
260,0.003795915313178512
261,0.00380595581598628
262,0.0038111311403545953
263,0.003823834801871623
264,0.0038329195416667446
265,0.0038388553892078976
266,0.003845349418655739
267,0.0038471543993588665
268,0.003849923013657603
269,0.0038568183768770024
270,0.0038617454516016603
271,0.003861736571391947
272,0.003865842048456267
273,0.0038652650624016807
274,0.00386962314505045
275,0.003873430421588295
276,0.0038719657758108576
277,0.003874111884641372
278,0.0038730232845609926
279,0.0038735412704496803
280,0.003875815704067441
281,0.003877830547926465
282,0.0038775144034886976
283,0.0038768320592057863
284,0.003880635103952944
285,0.0038786315972968934
286,0.0038767750220138003
287,0.0038765899578277634
288,0.0038783294954160196
289,0.0038760569360078634
290,0.0038743697280808837
291,0.0038749550024023546
292,0.0038731365671514847
293,0.0038676245553945754
294,0.0038693478125395326
295,0.00386879608548404
296,0.0038668197035361196
297,0.0038685541458196135
298,0.0038649768053529263
299,0.003867137606529103
300,0.003867162056670194
301,0.003867476708770847
302,0.003868957504533585
303,0.0038645091485160895
304,0.003864971877744175
305,0.0038677454770901175
306,0.003865790913700248
307,0.0038638605732698814
308,0.003864437817297174
309,0.0038653092425525596
310,0.0038625321139293045
311,0.0038598876945815873
312,0.0038647886991608864
313,0.003866586171101141
314,0.0038680093186781407
315,0.0038739826052511914
316,0.0038808382784626732
317,0.0038872556037711547
318,0.0038952407286701094
319,0.0039081328284005686
320,0.0039190520104894445
321,0.003934001563444036
322,0.003950355879697246
323,0.003968440803987437
324,0.00398718406288349
325,0.004001946138623674
326,0.004024974939140261
327,0.004041846106499401
328,0.004064500132717638
329,0.004084938358388544
330,0.004099490585416231
331,0.0041190513431314645
332,0.004137099437631475
333,0.0041559492946452
334,0.004170623722822246
335,0.004184420848080456
336,0.004206492934354935
337,0.004231323026433351
338,0.004248110806552425
339,0.004272626300749196
340,0.004292986405095195
341,0.004317534674276903
342,0.00434626182454791
343,0.004374961571230424
344,0.004410763095011667
345,0.004452482804027112
346,0.004505268407748556
