,Healthy
-300,5.4228224638408776e-05
-299,5.539428879654185e-05
-298,5.645354254462054e-05
-297,5.8094226419072866e-05
-296,5.9593369753728744e-05
-295,6.046485237764312e-05
-294,6.175407639842088e-05
-293,6.359078601559933e-05
-292,6.431164933469531e-05
-291,6.510340151472582e-05
-290,6.631868191002064e-05
-289,6.845978591171013e-05
-288,6.939104715055501e-05
-287,7.094363806445013e-05
-286,7.171052769872776e-05
-285,7.329867413496881e-05
-284,7.507672868253468e-05
-283,7.669921807126944e-05
-282,7.674009103213178e-05
-281,8.032636366694469e-05
-280,8.120931824787438e-05
-279,8.207975494134278e-05
-278,8.487060604673819e-05
-277,8.366934125369514e-05
-276,8.634897148167297e-05
-275,8.702666616475009e-05
-274,8.927058170734826e-05
-273,9.083770299825222e-05
-272,9.221030888648677e-05
-271,9.342594062548689e-05
-270,9.548811868995027e-05
-269,9.441736968319981e-05
-268,9.737255800145249e-05
-267,9.934869654812185e-05
-266,9.967495333166333e-05
-265,0.00010104612499807399
-264,0.00010230639267059167
-263,0.00010302960162725858
-262,0.00010565044117313926
-261,0.00010546830644292505
-260,0.00010664885929468085
-259,0.00010830643753011507
-258,0.00010897375325463018
-257,0.00011006644181842454
-256,0.00011147868182181323
-255,0.00011203989915648114
-254,0.00011366086460133396
-253,0.00011372520236947925
-252,0.00011511566655304152
-251,0.00011610781456925472
-250,0.00011839871139005284
-249,0.0001194719282480585
-248,0.00011984831327173963
-247,0.00012155164698811699
-246,0.00012149850210252454
-245,0.0001232288616746434
-244,0.00012473086700221132
-243,0.00012621125704787923
-242,0.00012774915521624152
-241,0.00012931265552506603
-240,0.00013077988247651886
-239,0.00013254218930924906
-238,0.00013341759260230754
-237,0.00013453688103637736
-236,0.0001360442193710736
-235,0.0001387707050008434
-234,0.0001397797884503151
-233,0.00014241307748785284
-232,0.00014544210420152075
-231,0.00014645600415437736
-230,0.00014882821206516604
-229,0.0001511817919755132
-228,0.0001546880730895019
-227,0.00015606375621086792
-226,0.00015644292910503397
-225,0.00015965481180475099
-224,0.0001635430867160283
-223,0.00016581213386985473
-222,0.00016867638631202074
-221,0.00017136084599231316
-220,0.000174446185508217
-219,0.00017654780372709436
-218,0.00017959264476085661
-217,0.00018243173048264908
-216,0.00018576157956457737
-215,0.00018966729220091887
-214,0.00019277976833592263
-213,0.00019700314172222828
-212,0.0001994175224966528
-211,0.0002025931668684981
-210,0.00020468523696545653
-209,0.00020869552722499625
-208,0.0002100897287348151
-207,0.00021585293945553585
-206,0.00021841981712401697
-205,0.00022383812789699437
-204,0.00022437080170509434
-203,0.00022970179006945283
-202,0.00023361460116306604
-201,0.00023743270362912828
-200,0.00023894111023733201
-199,0.00024388069967110193
-198,0.00025049480177709055
-197,0.00025145421029830754
-196,0.0002572225739587302
-195,0.0002594252949942736
-194,0.0002650565892455452
-193,0.0002677929035150283
-192,0.0002728392579227415
-191,0.0002773528396975283
-190,0.00027917061996933024
-189,0.00028505001684114335
-188,0.0002903041854938736
-187,0.0002941269966337453
-186,0.00029759274263731135
-185,0.0003040735791812378
-184,0.00030563338093426794
-183,0.00031037631742140373
-182,0.00031777272036054717
-181,0.00031944544512807737
-180,0.00032305919894396227
-179,0.0003285575773600508
-178,0.00033080599626228864
-177,0.00033437757765023766
-176,0.0003406802301110284
-175,0.0003431598121158699
-174,0.00034428001159723975
-173,0.0003499055056101849
-172,0.0003514902878154094
-171,0.00035648383611680193
-170,0.000357082351146402
-169,0.0003609247532565472
-168,0.0003620161165763831
-167,0.0003623424349794547
-166,0.0003653111615227434
-165,0.0003665251561155736
-164,0.00036982627514668296
-163,0.00037221078074888307
-162,0.00037194180402435847
-161,0.0003757404054987717
-160,0.0003777839895876848
-159,0.00037973636222022266
-158,0.00038229299764586035
-157,0.0003826289405064246
-156,0.0003837853872345622
-155,0.0003880207839820924
-154,0.00039026123626002834
-153,0.0003932588493452265
-152,0.0003960097625873301
-151,0.0003981590217388113
-150,0.0004007521099936226
-149,0.0004055278301053415
-148,0.00040847587715321887
-147,0.00041243224566314343
-146,0.00041733464698062267
-145,0.00042101274674385286
-144,0.00042790742587957357
-143,0.0004296129333798924
-142,0.00043705807535213587
-141,0.00044117860738507927
-140,0.0004451420923826529
-139,0.0004507903299131679
-138,0.00045862591067313206
-137,0.0004651423605173415
-136,0.00047140063414602456
-135,0.00047933962040497735
-134,0.0004901750372289094
-133,0.000496958491901517
-132,0.0005066665870666605
-131,0.0005148630362878245
-130,0.0005275891122798586
-129,0.0005401146171408435
-128,0.0005492953793943189
-127,0.0005633321219908038
-126,0.0005747505082058566
-125,0.0005881707457633132
-124,0.000601484293131119
-123,0.0006210154979698359
-122,0.0006372862687292925
-121,0.0006547137630527831
-120,0.0006713934350119944
-119,0.000697614086571004
-118,0.0007155601988450169
-117,0.0007363725145056227
-116,0.0007616635590388886
-115,0.0007904927723125586
-114,0.0008224579760661475
-113,0.0008538609239226095
-112,0.0008910271411762471
-111,0.0009306239651926075
-110,0.0009776948997841017
-109,0.0010234952345867243
-108,0.001082349703342981
-107,0.0011436187621178962
-106,0.0012182130658052585
-105,0.0013044002396995318
-104,0.0013941697847420335
-103,0.0015033107889423224
-102,0.0016258753124532056
-101,0.001764327969202228
-100,0.001914659678865366
-99,0.0020925046315069715
-98,0.0022803201678312096
-97,0.0024858682708748733
-96,0.0027116635987712795
-95,0.0029444708978965265
-94,0.0031869136568684208
-93,0.0034244327994877866
-92,0.0036638398748062985
-91,0.003883482666802679
-90,0.004097873570559341
-89,0.004301039298049115
-88,0.004480409482416347
-87,0.004621239948160609
-86,0.0047431752602257226
-85,0.004847436897319348
-84,0.00491499626645634
-83,0.0049573379509026865
-82,0.004979815981528567
-81,0.004974790784087439
-80,0.004957227952814976
-79,0.004929835206090139
-78,0.004902195409986195
-77,0.004858096394724888
-76,0.0048131399861594485
-75,0.0047614551092077986
-74,0.00470797140985613
-73,0.0046568633773738715
-72,0.004607346429575587
-71,0.004556480337286763
-70,0.004502475547952535
-69,0.004447252368577083
-68,0.004396501467002232
-67,0.004333779723143528
-66,0.004277864380990362
-65,0.004236407996792825
-64,0.004188864471558752
-63,0.004136845899149968
-62,0.0041068555839980135
-61,0.004072181131949145
-60,0.004035895143872659
-59,0.004006014249058593
-58,0.003976982943100273
-57,0.003949203528838275
-56,0.003926341279444896
-55,0.003894589812489613
-54,0.00386126399319183
-53,0.0038297308479805356
-52,0.0038054492478104573
-51,0.003787901816984132
-50,0.0037620977112384152
-49,0.0037493967342772188
-48,0.0037381981430200887
-47,0.0037314872903196398
-46,0.00372575598071678
-45,0.003730378771404187
-44,0.00373391639107316
-43,0.0037429763271587453
-42,0.003748198181700846
-41,0.003753489685410042
-40,0.0037667210774664206
-39,0.003779387806753386
-38,0.0037846902156322662
-37,0.0037926516159912087
-36,0.0037989275548715585
-35,0.0037995452709562094
-34,0.0038065217937767767
-33,0.003817300103874147
-32,0.0038153886804929396
-31,0.00382051558794967
-30,0.003820172129231647
-29,0.0038251420013145597
-28,0.003821203648461828
-27,0.003822175332056432
-26,0.003828576113040368
-25,0.0038346744649658134
-24,0.0038318087689071254
-23,0.0038345450127319474
-22,0.003835373066168243
-21,0.0038285211801782097
-20,0.0038400977382544517
-19,0.0038391505261892857
-18,0.0038343653763848093
-17,0.0038318021979982277
-16,0.003842548123332477
-15,0.0038389508895541116
-14,0.0038293464365786248
-13,0.003835001769620177
-12,0.0038357509369259224
-11,0.0038385949670813138
-10,0.003833566728347715
-9,0.003839229051629877
-8,0.0038324236640709863
-7,0.0038262673657490113
-6,0.003830258713642789
-5,0.0038282352677043415
-4,0.003823796342489181
-3,0.0038265605395719922
-2,0.0038232254066435717
-1,0.003826277157849408
0,0.0038336520708546133
1,0.0038283699668228205
2,0.0038333074282499205
3,0.0038263554235329128
4,0.003827826172972602
5,0.0038296948397461127
6,0.0038296930774326145
7,0.003830368339465461
8,0.0038318804337802792
9,0.0038264266292508346
10,0.0038254552629842535
11,0.003825044588871476
12,0.003830898935016092
13,0.003830109416606706
14,0.0038320271033707148
15,0.003837922551694351
16,0.0038472431437621226
17,0.003847303235234632
18,0.0038584587943214887
19,0.0038673348834178433
20,0.0038834536415872072
21,0.003899313996754093
22,0.003914662842267532
23,0.003930673992903134
24,0.003950190043184862
25,0.003966828580494386
26,0.003990903775803226
27,0.004005477266071601
28,0.004032212433059821
29,0.004048944902509235
30,0.004058568850038887
31,0.004082023910154678
32,0.004102102177265226
33,0.004121479386855243
34,0.004141052899595053
35,0.004147463424271042
36,0.004174155252637835
37,0.004202244827054068
38,0.004212755813876995
39,0.004239030860076477
40,0.004261403322467591
41,0.004282019148494874
42,0.00431196971458298
43,0.004335812962580049
44,0.0043697802499005935
45,0.004408924231159627
46,0.0044631958251603624
47,0.004522918282465926
48,0.004585485295198798
49,0.004651029931144828
50,0.004725888452010326
51,0.004807769231944832
52,0.004874954252911796
53,0.004952553939332336
54,0.005036666898841515
55,0.005121697939713576
56,0.005195772673961647
57,0.00528659556025578
58,0.005354846328407953
59,0.005433402381342483
60,0.005511825695953233
61,0.005597002719489465
62,0.005680696585168818
63,0.005763547076864391
64,0.005868092488229706
65,0.005983843535410931
66,0.006091360661903734
67,0.006204023559075805
68,0.006319873729280525
69,0.006426642850785244
70,0.006534819331197589
71,0.006627760410988626
72,0.00670617371217952
73,0.006768032158421795
74,0.0068321382504083535
75,0.006878680211143594
76,0.006905867836115133
77,0.006912448327078333
78,0.006913819272891145
79,0.006886638139312915
80,0.00684849668172223
81,0.006781177153921175
82,0.006675452728791175
83,0.0065593746695213504
84,0.006406408039242641
85,0.00622891127262264
86,0.006007888193521711
87,0.005761587664328942
88,0.005486135014802652
89,0.00519716407310249
90,0.0048900975461077965
91,0.004559099371506333
92,0.004235412747784138
93,0.003905975675963689
94,0.0035947001368158643
95,0.0032790622530024884
96,0.0029843284020612116
97,0.002701468013483222
98,0.0024428649232574396
99,0.0022061245266752605
100,0.001991461029420832
101,0.0018040237063984526
102,0.0016428211682869398
103,0.0014924475465753605
104,0.0013624767417007944
105,0.0012535668007501587
106,0.0011496734757381565
107,0.0010696058026366793
108,0.0009953028473399378
109,0.0009284067827356189
110,0.0008713032667305906
111,0.0008219514737046621
112,0.0007780616665854356
113,0.0007352026796632077
114,0.000698835772053168
115,0.0006696697624089961
116,0.000642825331594285
117,0.0006139215240612188
118,0.000594827892264383
119,0.0005752668709814094
120,0.0005551238938570793
121,0.0005396179856013208
122,0.0005266943549359433
123,0.000514652376741866
124,0.0005027706837274132
125,0.0004908605152360925
126,0.0004820123716498924
127,0.00047433141107975475
128,0.0004666300219622396
129,0.00046322157335770755
130,0.00045374007307621316
131,0.0004468307595919999
132,0.00043995486491330574
133,0.00043896728879040567
134,0.0004326266217857319
135,0.00042735495614720375
136,0.00042219779650866417
137,0.00041635088895428677
138,0.0004134832684331547
139,0.0004112933242480623
140,0.000408961383660334
141,0.00040419841374778677
142,0.0004029715204223472
143,0.0003993972999069075
144,0.0003972543018080679
145,0.000393240378305183
146,0.00039217412844992075
147,0.00038977933133448305
148,0.0003872001430003132
149,0.0003857405180285849
150,0.0003852094979391397
151,0.0003844293481386472
152,0.00038178504632015473
153,0.00038237410504289804
154,0.0003811731814576037
155,0.00037917686475615845
156,0.00037816478124680196
157,0.0003754266118491755
158,0.0003755411950606717
159,0.00037577606488890195
160,0.00037184968182510944
161,0.00037186410586846787
162,0.0003730740909289943
163,0.0003656147154491341
164,0.0003669109264263094
165,0.00036470129158454724
166,0.0003607692433688981
167,0.00035989110002677927
168,0.0003596168395658491
169,0.00035432756336128876
170,0.0003513009254420018
171,0.00034836369490066606
172,0.00034317111604177544
173,0.0003411299896345226
174,0.0003370540927302434
175,0.0003327123418094358
176,0.00032919672976115854
177,0.00032633200794644714
178,0.00032190191494360567
179,0.0003156466587897057
180,0.00031062292386645657
181,0.0003050276037094358
182,0.00030025673814250935
183,0.0002934941158526472
184,0.0002880749489050509
185,0.0002849298231641604
186,0.00027857292296165094
187,0.00027465562512608307
188,0.00026841985657627545
189,0.00026454704221340564
190,0.0002586097063932642
191,0.0002529250079125547
192,0.00024859695302974905
193,0.0002437232398220604
194,0.00023817720291004714
195,0.0002321141742891
196,0.0002281491915146057
197,0.00022346851928724902
198,0.00022047167752765098
199,0.00021617032850285094
200,0.0002121199811749604
201,0.00020696731386748868
202,0.00020190306702637357
203,0.00020045323066398307
204,0.00019687734669238116
205,0.00019220687789512454
206,0.00019008401321246598
207,0.00018608346175912264
208,0.00018348232247876415
209,0.00018047344028792266
210,0.00017726607065452832
211,0.0001753090694750151
212,0.00017266770059344339
213,0.00016936874562630759
214,0.00016855318116450757
215,0.0001655304371545151
216,0.00016428402591610005
217,0.000162013046720917
218,0.00015909193234022267
219,0.00015619681336060756
220,0.00015773360744375094
221,0.000154853698240783
222,0.00015386413472933208
223,0.0001529676787706528
224,0.0001511651979983434
225,0.00015021615294473018
226,0.00014873014541355657
227,0.00014838816674640187
228,0.0001488791411157283
229,0.00014735846193265662
230,0.00014604041136247734
231,0.00014559293399181886
232,0.00014428573498987362
233,0.00014388659042186415
234,0.00014294100384040756
235,0.00014309959209305283
236,0.00014127252450407734
237,0.00014113133769866226
238,0.00014158037323447169
239,0.00014025836905659432
240,0.00014074246892567923
241,0.00013837139732680002
242,0.00013805956801758867
243,0.00013731701912236038
244,0.00013565630341833774
245,0.00013604810966644907
246,0.00013638689701355472
247,0.00013462508814276794
248,0.00013557426431045093
249,0.0001350376028307566
250,0.00013226892754877734
251,0.00013286566647013396
252,0.0001304503250676849
253,0.0001302138432360849
254,0.000129192913208583
255,0.0001283851366562132
256,0.00012735465761349243
257,0.00012615523000689247
258,0.00012531619021421319
259,0.0001236487516852415
260,0.00012224587002183774
261,0.00012243771572620566
262,0.00012055247679490756
263,0.00011781161124326983
264,0.00011807065978122077
265,0.00011616022662186983
266,0.00011474830988466226
267,0.00011238624070861698
268,0.00011046294069647548
269,0.00010890619858403549
270,0.00010720238975897948
271,0.0001047318986762519
272,0.00010303463095894147
273,0.00010031184163377137
274,9.910044456248888e-05
275,9.863291036280463e-05
276,9.574407369258412e-05
277,9.315384960558807e-05
278,9.08075197442321e-05
279,8.983167146083419e-05
280,8.716967308248282e-05
281,8.47487305403943e-05
282,8.259208960960565e-05
283,8.02726203728885e-05
