,baryl2
0,0.018863665714108344
1,0.014745444350833308
2,0.01476272633897165
3,0.012342773342461935
4,0.012030775124155228
5,0.011197450928672633
6,0.010882467948318654
7,0.01046546068462678
8,0.010044596307300247
9,0.00902850830239305
10,0.007421226021031048
11,0.011410970258903587
12,0.008065653439623278
13,0.010477028999535603
14,0.006712467717111314
15,0.008170444493088503
16,0.007687772521793324
17,0.008537530808045226
18,0.007694355158952154
19,0.006724015351244075
20,0.0079186745391043
21,0.008278969280638801
22,0.007509444757903709
23,0.008628638292623907
24,0.008595127763554571
25,0.0058925451209387286
26,0.005498093681365423
27,0.006972058211817626
28,0.006720790969381072
29,0.00849916498306913
30,0.006793290024016618
31,0.008649328136283014
32,0.007527247857624315
33,0.005782355803966982
34,0.0071288510226046355
35,0.006012038456797002
36,0.006382823383695288
37,0.005287635978233769
38,0.004863823561284663
39,0.006484748025529586
40,0.005867079293173899
41,0.006762603059664007
42,0.00651987398899566
43,0.005666087522799087
44,0.005943047862458601
45,0.006963300443597293
46,0.0072540372448661895
47,0.005685328387196954
48,0.006713747362571153
49,0.0047193730301475995
50,0.004613972241782286
51,0.0047817728240209
52,0.005961099700020078
53,0.0080454769640066
54,0.005477858766694665
55,0.005667258305958435
56,0.004722398967582574
57,0.004181507805455929
58,0.0049960899229341505
59,0.0059615809421285516
60,0.0058376877098116065
61,0.004942891067283349
62,0.00488865521288295
63,0.004940101715302161
64,0.005155591156403933
65,0.00403746286997215
66,0.00410538936893439
67,0.005443724898629032
68,0.003963459264302086
69,0.005339683383382515
70,0.005308475341477154
71,0.00460401506119029
72,0.004929673852388685
73,0.0061031847153509506
74,0.005302800393765102
75,0.004000416016970038
76,0.004275700499657772
77,0.005004585051898891
78,0.007370996962138096
79,0.005572542650332387
80,0.005771137839519694
81,0.00478415336407605
82,0.004950969156854648
83,0.00543838977712152
84,0.0037141948467137656
85,0.0044897590045956575
86,0.0035371903415777305
87,0.004456943116784051
88,0.00440246825454154
89,0.004365009313707285
90,0.00446610388598377
91,0.004347453898497527
92,0.004683631805473862
93,0.004430965749281138
94,0.005784323995433028
95,0.004196206079641008
96,0.005023789818266783
97,0.0050278866144644364
98,0.003991078284790547
99,0.004393932025862635
100,0.003724028587338205
101,0.004006886500809713
102,0.004014514958511085
103,0.004353442312943745
104,0.0042491017295340815
105,0.003915951796820003
106,0.004794392474541411
107,0.0033181075979489202
108,0.004531885374813311
109,0.004003116231492262
110,0.00346450748356355
111,0.004672215367789821
112,0.003727572880419692
113,0.0037049823454160615
114,0.0040918432430792125
115,0.004289576559774744
116,0.003539889242813303
117,0.002885188937002766
118,0.00318578156011701
119,0.00408571186842792
120,0.0041483558795216615
121,0.005063651741059793
122,0.003512591649491562
123,0.003976015377256024
124,0.0033193076105449137
125,0.0029146712188852842
126,0.0035663370613356806
127,0.0032913358608564454
128,0.003817158707966543
129,0.0033777760697009697
130,0.004187722675612033
131,0.0034817124397293377
132,0.0037617038748555646
133,0.003213534467686811
134,0.003603603666177805
135,0.0027249167070133662
136,0.0032480086170562188
137,0.0037149676788224605
138,0.003823438472442711
139,0.0035736324089308685
140,0.003141985119956405
141,0.004083778023025298
142,0.0031813576668472242
