,baryl2
0,7.5975674237146425e-06
1,7.68480808927531e-06
2,7.474197934056507e-06
3,7.645343911380043e-06
4,7.991872124578227e-06
5,8.534195349345012e-06
6,9.253662959057676e-06
7,1.0534881933031812e-05
8,1.2235764125904902e-05
9,1.5631358070772556e-05
10,1.6960418613083623e-05
11,1.6553927518664933e-05
12,1.6585525000945672e-05
13,1.872619714027108e-05
14,2.0273908887519893e-05
15,2.1187816349644814e-05
16,2.6270468153672347e-05
17,2.9647015252641468e-05
18,3.762255727799973e-05
19,5.0470514165436284e-05
20,6.211130826927513e-05
21,6.613942344893917e-05
22,7.005119989466978e-05
23,7.963765236586583e-05
24,9.066570635379945e-05
25,0.00010459510824189174
26,0.00012022876266801726
27,0.00014233093224944705
28,0.0001805278216512094
29,0.0002458411420582604
30,0.0003243949204077928
31,0.00035335967735165494
32,0.0003196522608134694
33,0.00028092889227846976
34,0.0002807021333904182
35,0.00029945790067937114
36,0.00033171772370388613
37,0.0003666079231495082
38,0.00042453958369641887
39,0.0005410430711803142
40,0.00070659843724634
41,0.0008367571008242312
42,0.0008326456535498104
43,0.0006942366226047728
44,0.0005865075341726256
45,0.0005545391635038048
46,0.000568906539529385
47,0.0006235712571000158
48,0.00071158651204723
49,0.0008461358123065361
50,0.000984741835736872
51,0.0010815878000609601
52,0.0010996247492313727
53,0.0010592838045875629
54,0.0009796902204004076
55,0.0009285470848288768
56,0.0009447936140022318
57,0.0010037499042265911
58,0.0010977787976123913
59,0.0012573055010547541
60,0.0014854387989916562
61,0.0016819525828105086
62,0.0016655540986587928
63,0.0014623667099050027
64,0.0013101669189007439
65,0.0013009256436050886
66,0.0013702977115359807
67,0.0014662125783028253
68,0.0015849681237807946
69,0.0018141468243381515
70,0.0022540932833781404
71,0.0028727549483644112
72,0.0033080047079527657
73,0.0031656458865476165
74,0.002569078631851633
75,0.0021498944705619716
76,0.002097632915442564
77,0.002257661356652552
78,0.0024846805669399494
79,0.002796523616109622
80,0.003326338165821013
81,0.004146693640912202
82,0.005272351190267351
83,0.006282740564169791
84,0.006440720856349835
85,0.005808013599017245
86,0.005291100221914017
87,0.0054778562289590485
88,0.0062658087670902285
89,0.0074431158397493076
90,0.008765142431992334
91,0.00974823488385633
92,0.01010477487864088
93,0.01009936014982683
94,0.010189851594894076
95,0.010303196853291622
96,0.010274745443470588
97,0.010407649456840154
98,0.0108612231344498
99,0.011491034231650092
100,0.012228223338892438
101,0.013069019178265301
102,0.013759282052719573
103,0.013776262132955849
104,0.013461082983465938
105,0.013602370733937535
106,0.014385876598942696
107,0.015661950461830113
108,0.017171291056490363
109,0.018656692874900425
110,0.01980486929254916
111,0.020647094438029884
112,0.021723596181791892
113,0.023708032878826647
114,0.02657112862908699
115,0.028953199567844277
116,0.029578952586326257
117,0.028955024570410846
118,0.027779385337779648
119,0.02627336514472866
120,0.02453261364831643
121,0.02279270800864947
122,0.021418624324248563
123,0.020591193271457378
124,0.020095470761464444
125,0.019583970051120166
126,0.01880101935368143
127,0.017627731988690123
128,0.01618770841131393
129,0.014680480473818378
130,0.013249246231410512
131,0.011959607424859669
132,0.010859800392270396
133,0.009966625274510053
134,0.00928565939240271
135,0.00876166234180323
136,0.008308423273535488
137,0.007871588962234423
138,0.007388169576883853
139,0.006847320134923133
140,0.006269235742339318
141,0.005696057724155987
142,0.005170138120915466
143,0.0047169510948072
144,0.004344115075439575
145,0.004047409043792133
