fpr,tpr,thresholds
0.0,0.0,inf
0.0,0.0025,0.9656621755580506
0.0,0.0275,0.7571894466382865
0.004166666666666667,0.0275,0.7540138380851491
0.004166666666666667,0.0425,0.7387038687321243
0.008333333333333333,0.0425,0.7382020032658997
0.008333333333333333,0.045,0.7290487428735544
0.0125,0.045,0.7257653835781368
0.0125,0.0475,0.7215936412018533
0.025,0.0475,0.7199628037671723
0.025,0.0525,0.7192230803592096
0.029166666666666667,0.0525,0.7170537841844385
0.029166666666666667,0.06,0.7120575355178008
0.0375,0.06,0.7113762086846555
0.0375,0.0625,0.7112899060685853
0.04583333333333333,0.0625,0.7100319135105896
0.04583333333333333,0.0725,0.7063370044039051
0.05,0.0725,0.7060030525178175
0.05,0.075,0.7047600868070375
0.05416666666666667,0.075,0.7035045456952338
0.05416666666666667,0.08,0.7008286602252557
0.0625,0.08,0.6990564401588145
0.0625,0.0825,0.6988485299324121
0.075,0.0825,0.6969211430207183
0.075,0.0875,0.6940469450975424
0.07916666666666666,0.0875,0.6938496592927547
0.07916666666666666,0.09,0.6938035076929938
0.0875,0.09,0.6903316784628375
0.0875,0.0925,0.6898852701076258
0.09166666666666666,0.0925,0.6888872366648275
0.09166666666666666,0.095,0.6873484504928989
0.09583333333333334,0.095,0.6871684674470395
0.09583333333333334,0.1,0.6867980769512837
0.10416666666666667,0.1,0.6859721753940402
0.10416666666666667,0.105,0.685652267635942
0.11666666666666667,0.105,0.6828239478470842
0.11666666666666667,0.1075,0.6822424188708053
0.12083333333333333,0.1075,0.6817304987623368
0.12083333333333333,0.1125,0.6814540545194181
0.125,0.1125,0.6814531615765257
0.125,0.1175,0.6795685690365415
0.13333333333333333,0.1175,0.6777640354115612
0.13333333333333333,0.125,0.6775778984739012
0.1375,0.125,0.6771552444765924
0.1375,0.1275,0.676544534062444
0.14166666666666666,0.1275,0.6751594773302585
0.14166666666666666,0.135,0.6739238545939616
0.15,0.135,0.6733834059756237
0.15,0.1375,0.67310467960528
0.15416666666666667,0.1375,0.672963858380336
0.15416666666666667,0.14,0.6718567043704657
0.16666666666666666,0.14,0.6699851829410808
0.16666666666666666,0.1425,0.6690994936828939
0.17083333333333334,0.1425,0.6690620572461659
0.17083333333333334,0.145,0.6683839099512808
0.175,0.145,0.667533515229307
0.175,0.15,0.6668925204768458
0.18333333333333332,0.15,0.665696489682443
0.18333333333333332,0.155,0.6641592962152943
0.19583333333333333,0.155,0.6637698509133709
0.19583333333333333,0.1575,0.6627613673367899
0.2,0.1575,0.6626871538824126
0.2,0.16,0.6626527042515968
0.20416666666666666,0.16,0.6625998607202008
0.20416666666666666,0.1625,0.6622231367067837
0.20833333333333334,0.1625,0.6621388494355549
