,feature_combinations,SEN,SPEC
82,"EM_score,OT_EM,NMF_EM_2",0.16,0.9523809523809523
83,"EM_score,OT_EM,NMF_FLEN_1",0.41333333333333333,0.9285714285714286
84,"EM_score,OT_EM,NMF_NUCLEOSOME_2",0.18666666666666668,0.9761904761904762
85,"EM_score,OT_FLEN,OT_NUCLEOSOME",0.21333333333333335,0.9761904761904762
86,"EM_score,OT_FLEN,ichorCNA",0.4533333333333333,0.9523809523809523
87,"EM_score,OT_FLEN,NMF_EM_2",0.17333333333333334,0.9523809523809523
88,"EM_score,OT_FLEN,NMF_FLEN_1",0.4,0.9285714285714286
89,"EM_score,OT_FLEN,NMF_NUCLEOSOME_2",0.17333333333333334,0.9761904761904762
90,"EM_score,OT_NUCLEOSOME,ichorCNA",0.4666666666666667,0.9523809523809523
91,"EM_score,OT_NUCLEOSOME,NMF_EM_2",0.17333333333333334,0.9523809523809523
92,"EM_score,OT_NUCLEOSOME,NMF_FLEN_1",0.41333333333333333,0.9285714285714286
93,"EM_score,OT_NUCLEOSOME,NMF_NUCLEOSOME_2",0.2,0.9761904761904762
94,"EM_score,ichorCNA,NMF_EM_2",0.44,0.9285714285714286
95,"EM_score,ichorCNA,NMF_FLEN_1",0.56,0.9047619047619048
96,"EM_score,ichorCNA,NMF_NUCLEOSOME_2",0.44,0.9523809523809523
97,"EM_score,NMF_EM_2,NMF_FLEN_1",0.4,0.9047619047619048
98,"EM_score,NMF_EM_2,NMF_NUCLEOSOME_2",0.16,0.9523809523809523
99,"EM_score,NMF_FLEN_1,NMF_NUCLEOSOME_2",0.4,0.9285714285714286
100,"FLEN_score,NUCLEOSOME_score,EM_shannon",0.3466666666666667,0.9047619047619048
101,"FLEN_score,NUCLEOSOME_score,OT_EM",0.32,0.9285714285714286
102,"FLEN_score,NUCLEOSOME_score,OT_FLEN",0.29333333333333333,0.9285714285714286
103,"FLEN_score,NUCLEOSOME_score,OT_NUCLEOSOME",0.29333333333333333,0.9285714285714286
104,"FLEN_score,NUCLEOSOME_score,ichorCNA",0.52,0.9047619047619048
105,"FLEN_score,NUCLEOSOME_score,NMF_EM_2",0.29333333333333333,0.9047619047619048
106,"FLEN_score,NUCLEOSOME_score,NMF_FLEN_1",0.4266666666666667,0.8809523809523809
107,"FLEN_score,NUCLEOSOME_score,NMF_NUCLEOSOME_2",0.29333333333333333,0.9285714285714286
108,"FLEN_score,EM_shannon,OT_EM",0.3466666666666667,0.9285714285714286
109,"FLEN_score,EM_shannon,OT_FLEN",0.30666666666666664,0.9285714285714286
110,"FLEN_score,EM_shannon,OT_NUCLEOSOME",0.3466666666666667,0.9285714285714286
111,"FLEN_score,EM_shannon,ichorCNA",0.49333333333333335,0.9047619047619048
112,"FLEN_score,EM_shannon,NMF_EM_2",0.30666666666666664,0.9047619047619048
113,"FLEN_score,EM_shannon,NMF_FLEN_1",0.41333333333333333,0.8809523809523809
114,"FLEN_score,EM_shannon,NMF_NUCLEOSOME_2",0.30666666666666664,0.9285714285714286
115,"FLEN_score,OT_EM,OT_FLEN",0.25333333333333335,0.9761904761904762
116,"FLEN_score,OT_EM,OT_NUCLEOSOME",0.29333333333333333,0.9761904761904762
117,"FLEN_score,OT_EM,ichorCNA",0.49333333333333335,0.9523809523809523
118,"FLEN_score,OT_EM,NMF_EM_2",0.25333333333333335,0.9523809523809523
119,"FLEN_score,OT_EM,NMF_FLEN_1",0.41333333333333333,0.9047619047619048
120,"FLEN_score,OT_EM,NMF_NUCLEOSOME_2",0.25333333333333335,0.9761904761904762
121,"FLEN_score,OT_FLEN,OT_NUCLEOSOME",0.26666666666666666,0.9761904761904762
122,"FLEN_score,OT_FLEN,ichorCNA",0.48,0.9523809523809523
123,"FLEN_score,OT_FLEN,NMF_EM_2",0.21333333333333335,0.9523809523809523
124,"FLEN_score,OT_FLEN,NMF_FLEN_1",0.38666666666666666,0.9047619047619048
125,"FLEN_score,OT_FLEN,NMF_NUCLEOSOME_2",0.21333333333333335,0.9761904761904762
126,"FLEN_score,OT_NUCLEOSOME,ichorCNA",0.5066666666666667,0.9523809523809523
127,"FLEN_score,OT_NUCLEOSOME,NMF_EM_2",0.26666666666666666,0.9523809523809523
128,"FLEN_score,OT_NUCLEOSOME,NMF_FLEN_1",0.41333333333333333,0.9047619047619048
