feature,cutoff
NMF_EM_2,0.7150509985230059
NMF_FLEN_1,0.49014787679949734
NMF_NUCLEOSOME_2,0.5232605992284699
EM_score,0.06774668502429548
FLEN_score,0.19477945844485026
NUCLEOSOME_score,0.019585719230668337
EM_shannon,0.029841537983741392
OT_EM,0.07847485934457003
OT_FLEN,0.18263201745667895
OT_NUCLEOSOME,0.013396588718632203
ichorCNA,0.01545
