,feature_combinations,SEN_Train,SPEC_Train,NMF_EM_1,NMF_FLEN_1,NMF_NUCLEOSOME_2,EM_score,FLEN_score,NUCLEOSOME_score,EM_shannon,OT_EM,OT_FLEN,OT_NUCLEOSOME,ichorCNA
661,"NMF_EM_1,NMF_NUCLEOSOME_2,EM_score,OT_EM,OT_NUCLEOSOME",0.2862595419847328,0.9176470588235294,1,0,1,1,0,0,0,1,0,1,0
662,"NMF_EM_1,NMF_NUCLEOSOME_2,EM_score,OT_EM,ichorCNA",0.4847328244274809,0.8941176470588236,1,0,1,1,0,0,0,1,0,0,1
663,"NMF_EM_1,NMF_NUCLEOSOME_2,EM_score,OT_FLEN,OT_NUCLEOSOME",0.2595419847328244,0.9411764705882353,1,0,1,1,0,0,0,0,1,1,0
664,"NMF_EM_1,NMF_NUCLEOSOME_2,EM_score,OT_FLEN,ichorCNA",0.4847328244274809,0.9058823529411765,1,0,1,1,0,0,0,0,1,0,1
665,"NMF_EM_1,NMF_NUCLEOSOME_2,EM_score,OT_NUCLEOSOME,ichorCNA",0.49236641221374045,0.9058823529411765,1,0,1,1,0,0,0,0,0,1,1
666,"NMF_EM_1,NMF_NUCLEOSOME_2,FLEN_score,NUCLEOSOME_score,EM_shannon",0.37404580152671757,0.9176470588235294,1,0,1,0,1,1,1,0,0,0,0
667,"NMF_EM_1,NMF_NUCLEOSOME_2,FLEN_score,NUCLEOSOME_score,OT_EM",0.3320610687022901,0.9176470588235294,1,0,1,0,1,1,0,1,0,0,0
668,"NMF_EM_1,NMF_NUCLEOSOME_2,FLEN_score,NUCLEOSOME_score,OT_FLEN",0.29770992366412213,0.9411764705882353,1,0,1,0,1,1,0,0,1,0,0
669,"NMF_EM_1,NMF_NUCLEOSOME_2,FLEN_score,NUCLEOSOME_score,OT_NUCLEOSOME",0.29770992366412213,0.9411764705882353,1,0,1,0,1,1,0,0,0,1,0
670,"NMF_EM_1,NMF_NUCLEOSOME_2,FLEN_score,NUCLEOSOME_score,ichorCNA",0.5076335877862596,0.9176470588235294,1,0,1,0,1,1,0,0,0,0,1
671,"NMF_EM_1,NMF_NUCLEOSOME_2,FLEN_score,EM_shannon,OT_EM",0.31297709923664124,0.9176470588235294,1,0,1,0,1,0,1,1,0,0,0
672,"NMF_EM_1,NMF_NUCLEOSOME_2,FLEN_score,EM_shannon,OT_FLEN",0.3282442748091603,0.9176470588235294,1,0,1,0,1,0,1,0,1,0,0
